AC01,AD01,AD03,AD10,AD10_09,AD11,BP03_03,BP03_04,BP03_05,BP03_06,BP03_07,BP03_08,BP03_09,BP03_10,BP03_11,BP03_12,BP03_13,BP03_14,BP04,BP05,BP06,BP07,BP08,CH01_01,CH01_02,CH01_03,CH01_04,CH01_05,CH02,CH02_01,CH02_02,CH02_03,CH02_04,CH02_05,CH03,CH04,DI02,DI03,DI04,DI05,DI06,DI07,DI08,DI09,DJ01,DJ02,DJ03,DJ04,DJ06,DJ07,DJ09,DJ10,DK01,DK02,DK03,DK05,DK06,DK07,DK09,DK10,DL01,DL02,DL03,DL04,DL05,DL06,DL08,DL09,DM01,DM02,DM03,DM04,DM05,DM06,DM08,DM09,DN01,DN02,DN03,DN04,DN05,DN06,DN08,DN09,EE01_CP,EE01,FS05_01,FS06_01,FS08,FS09_03,FS09_04,FS09_05,FS09_06,FS09_07,FS09_08,FS09_09,FS09_10,FS09_11,FS09_12,FS09_13,FS09_14,TIME_SUM,FINISHED
2,1.0,3.0,8.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,0.0,2.0,"Ich weiß es nicht, einfach Bauchgefühl",Ich weiß es nicht ,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,936,1
2,1.0,4.0,8.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,"Kann ich nicht genau sagen, es klang plausibel und auch auf bestimmte Hintergründe bezogen aber ich habe ja eine Meinung und wissen und durch ein Statement von wem auch immer ändert sich das nicht direkt. ","Kann ich nicht sagen schwierig, zu hoch gestochen oder uneemotionalität kann auch AI schließen man kann aber AI trainieren das ich es kaum noch unterscheiden kann ohne den Schreiber normal zu kennen  ",4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,932,1
2,1.0,3.0,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,0
2,1.0,3.0,8.0,,3.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,I was feeling strongly towards statements that seemed to be populistic and in general terms,"The way in which the statement was written. Sometimes it was very factual and ,,plain"", while other times it seemed to be more emotional and written out of the spur of the moment.",4.0,5.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,696,1
2,1.0,3.0,8.0,,3.0,5.0,4.0,5.0,5.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,"The content was overall more an opinion or a statement about how we should act. Since I believe that everyone has an opinion, I would believe that an actual human could have said one of the quotes. I didn't notice any specific wordings typical for AI, so I wouldn't recognize which were from an AI system. ",I'm not sure ,4.0,5.0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,4.0,1.0,5.0,1203,1
2,2.0,4.0,8.0,,3.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0,2.0,1.0,"It was based on my opinion, i would say that I know a lot of these topics and can classify these statements easier. And if they fitted more to the stuff i know they were more trustworthy than completely new facts ","Ja same as for the question before, just based on knowledge ",4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,1217,1
2,1.0,3.0,8.0,,2.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,How discrete the examples were,Examples,3.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,1175,1
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0
2,1.0,3.0,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0
2,2.0,3.0,8.0,,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,"The quotes were optional, not fact statements. Trust in opinions is transferred from trust in its senders which were not specified here.",Context,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,587,1
